MOTOROLA,,,SAMSUNG,,,XIAOMI,,,IPHONE,,,,,,,,,,
G41 oled com aro, $225.00 ,,A01, $60.00 ,,Redmi note 5/ note 5 pró , $70.00 ,,,,,,,,,,,,
G41 oled com aro (Premium), $240.00 ,,A01 com aro , $75.00 ,,Redmi note 6 pró , $70.00 ,,,,,,,,,,,,
G42 incell, $105.00 ,,A01 core , $65.00 ,,Redmi note 6 pró com aro (Premium), $110.00 ,,,,,,,,,,,,
G42 incell com aro, $110.00 ,,A01 core com aro , $80.00 ,,Redmi note 7 , $70.00 ,,,,,,,,,,,,
G42 oled com aro , $220.00 ,,A01 core com aro (Premium), $90.00 ,,Redmi note 7 com aro , $100.00 ,,,,,,,,,,,,
G42 oled com aro (premium), $230.00 ,,A02/A12//A32 5g/M12, $65.00 ,,Redmi note 8 , $65.00 ,,,,,,,,,,,,
G71 com aro, $280.00 ,,A02 com aro, $90.00 ,,Redmi note 8 com aro , $100.00 ,,,,,,,,,,,,
G50 4g, $135.00 ,,A02 com aro (Premium), $110.00 ,,Redmi note 8 com aro (Premium), $135.00 ,,,,,,,,,,,,
G50 4g com aro original, $240.00 ,,A02 core , $100.00 ,,Redmi Note 8t , $90.00 ,,,,,,,,,,,,
G50 5g, $75.00 ,,A02s/ A03s/ A03/ A04e, $65.00 ,,Redmi note 8T com aro , $105.00 ,,,,,,,,,,,,
G50 5g com aro, $110.00 ,,A02s com aro , $85.00 ,,Redmi note 8 pró, $75.00 ,,,,,,,,,,,,
G52 5g / g82 5g / edge 30 oled, $270.00 ,,A03 com aro , $70.00 ,,Redmi note 8 pro com aro , $105.00 ,,,,,,,,,,,,
G52 5G/ G82 5G oled com aro (premium), $340.00 ,,A03s com aro , $90.00 ,,Redmi note 8 pro com aro (Premium), $125.00 ,,,,,,,,,,,,
G52 5g / G82 5g/ Edge 30 incell , $90.00 ,,A03 core , $60.00 ,,Redmi note 9, $75.00 ,,,,,,,,,,,,
G52 5g/ G82 5g incell com aro , $100.00 ,,A03 core com aro , $75.00 ,,Redmi note 9 com aro , $95.00 ,,,,,,,,,,,,
G53 5g com aro, $105.00 ,,A04 , $80.00 ,,Redmi note 9 com aro (Premium), $105.00 ,,,,,,,,,,,,
G53 5g com aro (Premium), $125.00 ,,A04 com aro, $90.00 ,,Redmi note 9 pró/ note 9s, $70.00 ,,,,,,,,,,,,
G54 com aro, $105.00 ,,A04 com aro (linha premium), $120.00 ,,Redmi note 9 pró/ note 9s  com aro , $90.00 ,,,,,,,,,,,,
G54 com aro (Premium), $175.00 ,,A04e com aro , $90.00 ,,Redmi note 9t , $120.00 ,,,,,,,,,,,,
G55, $115.00 ,,A04e com aro (premium), $105.00 ,,Redmi note 10 4g/10s/ poco m5s incell, $75.00 ,,,,,,,,,,,,
G60/G60s, $85.00 ,,A04s / A13 5g, $65.00 ,,Redmi note 10 4g/10s/ poco m5s incell com aro  , $90.00 ,,,,,,,,,,,,
G60 com aro, $105.00 ,,A04s com aro , $80.00 ,,Redmi note 10 4g/10s/ poco m5s incell com aro (Premium), $120.00 ,,,,,,,,,,,,
G60s com aro, $110.00 ,,A04s com aro (Premium), $110.00 ,,Redmi note 10 4g/ 10s/ poco m5s oled , $165.00 ,,,,,,,,,,,,
G62, $110.00 ,,A05, $75.00 ,,Redmi note 10 4g/10s/ poco m5s oled com aro , $200.00 ,,,,,,,,,,,,
G62 com aro, $135.00 ,,A05 com aro, $95.00 ,,Redmi note 10 4g/10s/ poco m5s oled com aro (premium), $220.00 ,,,,,,,,,,,,
G62 com aro  (Premium), $155.00 ,,A05 com aro (premium), $110.00 ,,Redmi note 10 5g / Poco m3 pró 5g, $85.00 ,,,,,,,,,,,,
G64, $115.00 ,,A05s, $80.00 ,,Redmi note 10 5g / poco m3 pró 5g com aro , $100.00 ,,,,,,,,,,,,
G71 oled com aro, $225.00 ,,A05s com aro, $110.00 ,,Redmi Note 10 5g / poco m3 pro 5g com aro (Premium), $130.00 ,,,,,,,,,,,,
G71 oled com aro (Premium), $240.00 ,,A05s com aro (Premium), $160.00 ,,Redmi Note 10 pro/ 10 pro Max/Note 11 pro/ Poco x4 pro incell, $90.00 ,,,,,,,,,,,,
G72 oled com aro, $220.00 ,,A06, $80.00 ,,Redmi note 10 pro/ 10 pro max incell com aro  , $100.00 ,,,,,,,,,,,,
G73 com aro (Linha premium), $135.00 ,,A06 com aro, $110.00 ,,Redmi note 10 pro/ 10 pro max incell com aro (Premium), $135.00 ,,,,,,,,,,,,
